Neuron1	Neuron2	Type	Nbr
Pse_VB08_01	Pse_VB08_02	S	1
Pse_VB08_02	Pse_VB08_03	S	1
Pse_VB08_03	Pse_VB08_04	S	1
Pse_VB08_04	Pse_VB08_05	S	1
Pse_VB08_05	Pse_VB08_06	S	1
VB09	Pse_VB09_01	S	1
Pse_VB09_01	Pse_VB09_02	S	1
Pse_VB09_02	Pse_VB09_03	S	1
Pse_VB09_03	Pse_VB09_04	S	1
Pse_VB09_04	Pse_VB09_05	S	1
Pse_VB09_05	Pse_VB09_06	S	1
Pse_VB09_01	Pse_VB09_10	S	1
Pse_VB09_10	VB08	S	1
VB10	Pse_VB10_01	S	1
Pse_VB10_01	Pse_VB10_02	S	1
Pse_VB10_02	Pse_VB10_03	S	1
Pse_VB10_03	Pse_VB10_04	S	1
Pse_VB10_04	Pse_VB10_05	S	1
Pse_VB10_05	Pse_VB10_06	S	1
VB11	Pse_VB11_01	S	1
Pse_VB11_01	Pse_VB11_01.5	S	1
Pse_VB11_01.5	Pse_VB11_02	S	1
Pse_VB11_02	Pse_VB11_03	S	1
Pse_VB11_03	Pse_VB11_04	S	1
Pse_VB11_04	Pse_VB11_05	S	1
Pse_VB11_05	Pse_VB11_06	S	1
Pse_VB11_05	DVA	S	1
AVBR	Pse_AVBR_01	S	1
Pse_AVBR_01	Pse_AVBR_02	S	1
Pse_AVBR_02	Pse_AVBR_03	S	1
Pse_AVBR_03	Pse_AVBR_04	S	1
Pse_AVBR_04	Pse_AVBR_05	S	1
Pse_AVBR_05	Pse_AVBR_06	S	1
Pse_AVBR_06	Pse_AVBR_07	S	1
Pse_AVBR_07	Pse_AVBR_08	S	1
Pse_AVBR_08	Pse_AVBR_09	S	1
Pse_AVBR_09	Pse_AVBR_10	S	1
Pse_AVBR_10	Pse_AVBR_11	S	1
Pse_AVBR_11	Pse_AVBR_12	S	1
Pse_AVBR_12	Pse_AVBR_13	S	1
Pse_AVBR_13	Pse_AVBR_14	S	1
Pse_AVBR_14	Pse_AVBR_15	S	1
Pse_AVBR_15	Pse_AVBR_16	S	1
Pse_AVBR_16	Pse_AVBR_17	S	1
Pse_AVBR_17	Pse_AVBR_18	S	1
Pse_AVBR_18	Pse_AVBR_19	S	1
Pse_AVBR_19	Pse_AVBR_20	S	1
Pse_AVBR_20	Pse_AVBR_21	S	1
Pse_AVBR_21	Pse_AVBR_22	S	1
Pse_AVBR_22	Pse_AVBR_23	S	1
Pse_AVBR_23	Pse_AVBR_24	S	1
Pse_AVBR_24	Pse_AVBR_25	S	1
Pse_AVBR_25	Pse_AVBR_26	S	1
Pse_AVBR_26	Pse_AVBR_27	S	1
Pse_AVBR_27	Pse_AVBR_28	S	1
Pse_AVBR_28	Pse_AVBR_29	S	1
Pse_AVBR_11	DB01	S	1
Pse_AVBR_10	DB02	S	1
Pse_AVBR_11	DB03	S	1
Pse_AVBR_15	DB04	S	1
Pse_AVBR_18	DB05	S	1
Pse_AVBR_22	DB06	S	1
Pse_AVBR_25	DB07	S	1
Pse_AVBR_10	VB02	S	1
Pse_AVBR_12	VB03	S	1
Pse_AVBR_12	VB04	S	1
Pse_AVBR_16	VB06	S	1
Pse_AVBR_18	VB07	S	1
Pse_AVBR_20	VB08	S	1
Pse_AVBR_21	VB09	S	1
Pse_AVBR_23	VB10	S	1
Pse_AVBR_25	VB11	S	1
AVBL	Pse_AVBL_01	S	1
Pse_AVBL_01	Pse_AVBL_02	S	1
Pse_AVBL_02	Pse_AVBL_03	S	1
Pse_AVBL_03	Pse_AVBL_04	S	1
Pse_AVBL_04	Pse_AVBL_05	S	1
Pse_AVBL_05	Pse_AVBL_06	S	1
Pse_AVBL_06	Pse_AVBL_07	S	1
Pse_AVBL_07	Pse_AVBL_08	S	1
Pse_AVBL_08	Pse_AVBL_09	S	1
Pse_AVBL_09	Pse_AVBL_10	S	1
Pse_AVBL_10	Pse_AVBL_11	S	1
Pse_AVBL_11	Pse_AVBL_12	S	1
Pse_AVBL_12	Pse_AVBL_13	S	1
Pse_AVBL_13	Pse_AVBL_14	S	1
Pse_AVBL_14	Pse_AVBL_15	S	1
Pse_AVBL_15	Pse_AVBL_16	S	1
Pse_AVBL_16	Pse_AVBL_17	S	1
Pse_AVBL_17	Pse_AVBL_18	S	1
Pse_AVBL_18	Pse_AVBL_19	S	1
Pse_AVBL_19	Pse_AVBL_20	S	1
Pse_AVBL_20	Pse_AVBL_21	S	1
Pse_AVBL_21	Pse_AVBL_22	S	1
Pse_AVBL_22	Pse_AVBL_23	S	1
Pse_AVBL_23	Pse_AVBL_24	S	1
Pse_AVBL_24	Pse_AVBL_25	S	1
Pse_AVBL_25	Pse_AVBL_26	S	1
Pse_AVBL_26	Pse_AVBL_27	S	1
Pse_AVBL_27	Pse_AVBL_28	S	1
Pse_AVBL_28	Pse_AVBL_29	S	1
Pse_AVBL_11	DB03	S	1
Pse_AVBL_15	DB04	S	1
Pse_AVBL_18	DB05	S	1
Pse_AVBL_22	DB06	S	1
Pse_AVBL_25	DB07	S	1
Pse_AVBL_10	VB01	S	1
Pse_AVBL_10	VB02	S	1
Pse_AVBL_12	VB04	S	1
Pse_AVBL_14	VB05	S	1
Pse_AVBL_16	VB06	S	1
Pse_AVBL_18	VB07	S	1
Pse_AVBL_20	VB08	S	1
Pse_AVBL_22	VB09	S	1
Pse_AVBL_23	VB10	S	1
Pse_AVBL_25	VB11	S	1
Pse_AVBR_07	AVBL	S	1
Pse_AVBL_07	AVBR	S	1
